test_lot,rank,feature,mi_score
6,27,current_PlatenRFTuningCapacitor_std,0.0347693205673949
6,28,current_EpdIntensity_mean,0.033985044503533235
6,29,current_PlatenRFReflectedPower_mean,0.03240697615191346
6,30,current_PlatenDcBias_max,0.026910647978356517
6,31,current_moriInnerCurrent_max,0.021519205687154264
6,32,current_SourceRF2PeakToPeak_max,0.020398226159812127
6,33,current_HeliumBPPressure_max,0.015431877315912335
6,34,current_Gas7Flow_std,0.007681982486185568
6,35,current_PlatenRFTuningCapacitor_mean,0.005845454107197945
6,36,current_PlatenRFTuningCapacitor_min,0.004973862941331175
6,37,current_Gas2Flow_std,0.004234834396179998
6,38,current_Gas1Flow_max,0.001556531972979558
6,39,current_ForeLinePressure_max,0.00030582689574409905
6,40,current_Gas1Flow_mean,0.0
6,41,current_Gas2Flow_min,0.0
6,42,current_Gas4Flow_max,0.0
6,43,current_Gas4Flow_mean,0.0
6,44,current_Gas5Flow_max,0.0
6,45,current_Heater3Temp_max,0.0
6,46,current_Heater3Temp_mean,0.0
6,47,current_Heater3Temp_min,0.0
6,48,current_Heater3Temp_std,0.0
6,49,current_Heater4Temp_std,0.0
6,50,current_HeliumBPPressure_mean,0.0
6,51,current_PlatenDcBias_std,0.0
6,52,current_PlatenRFLoadCapacitor_max,0.0
6,53,current_PlatenRFLoadCapacitor_mean,0.0
6,54,current_PlatenRFLoadCapacitor_std,0.0
6,55,current_PlatenRFLoadPower_max,0.0
6,56,current_PlatenRFPeakToPeak_mean,0.0
6,57,current_PlatenRFReflectedPower_max,0.0
6,58,current_PlatenRFTuningCapacitor_max,0.0
6,59,current_Pressure_mean,0.0
6,60,current_SourceRF2PeakToPeak_mean,0.0
6,61,current_SourceRFReflectedPower_std,0.0
7,1,current_Heater2Temp_mean,0.17646369307935927
7,2,current_PlatenRFReflectedPower_std,0.17174180564382002
7,3,current_Gas7Flow_min,0.1683766096731858
7,4,current_PlatenDcBias_min,0.16179148342934746
7,5,current_HeliumBPPressure_min,0.15895373009931735
7,6,current_Gas7Flow_mean,0.1166639463585144
7,7,current_HeliumBPFlow_mean,0.1118545154152426
7,8,current_SourceRFReflectedPower_mean,0.1073445861411626
7,9,current_Gas1Flow_max,0.09901071074291434
7,10,current_Heater2Temp_std,0.07279685840823102
7,11,current_SourceRFLoadPower_max,0.06906953033003549
7,12,current_PlatenRFPeakToPeak_max,0.06195362243721325
7,13,current_HeliumBPPressure_max,0.060326102599663534
7,14,current_SourceRF2PeakToPeak_max,0.06012724290842719
7,15,current_HeliumBPFlow_min,0.05983785837638855
7,16,current_PlatenDcBias_max,0.05802545663335357
7,17,current_PlatenRFLoadPower_max,0.055578199857573285
7,18,current_HeliumBPFlow_max,0.054562133863996776
7,19,current_PlatenRFTuningCapacitor_mean,0.04367969293453222
7,20,current_moriInnerCurrent_max,0.04266056193993517
7,21,current_PlatenRFLoadCapacitor_min,0.041514545126258406
7,22,current_Pressure_min,0.04120905612412673
7,23,current_PlatenRFTuningCapacitor_std,0.04037366242891749
7,24,current_SourceRFReflectedPower_std,0.03409118089552643
7,25,current_PlatenDcBias_mean,0.033928626909735415
7,26,current_Gas7Flow_max,0.022840634040534047
7,27,current_Gas2Flow_max,0.02192037639967359
7,28,current_SourceRF2PeakToPeak_mean,0.017069067480515843
7,29,current_PlatenRFReflectedPower_max,0.017029301167165167
7,30,current_Heater1Temp_mean,0.015400819585853043
7,31,current_Heater3Temp_mean,0.014320270156247483
7,32,current_EpdIntensity_mean,0.013517219139982828
7,33,current_ForeLinePressure_min,0.007585940544559078
7,34,current_ForeLinePressure_max,0.0
7,35,current_ForeLinePressure_mean,0.0
7,36,current_Gas1Flow_mean,0.0
7,37,current_Gas2Flow_mean,0.0
7,38,current_Gas2Flow_min,0.0
7,39,current_Gas2Flow_std,0.0
7,40,current_Gas4Flow_max,0.0
7,41,current_Gas4Flow_mean,0.0
7,42,current_Gas5Flow_max,0.0
7,43,current_Gas7Flow_std,0.0
7,44,current_Heater3Temp_max,0.0
7,45,current_Heater3Temp_min,0.0
7,46,current_Heater3Temp_std,0.0
7,47,current_Heater4Temp_mean,0.0
7,48,current_Heater4Temp_std,0.0
7,49,current_HeliumBPFlow_std,0.0
7,50,current_HeliumBPPressure_mean,0.0
7,51,current_PlatenDcBias_std,0.0
7,52,current_PlatenRFLoadCapacitor_max,0.0
7,53,current_PlatenRFLoadCapacitor_mean,0.0
7,54,current_PlatenRFLoadCapacitor_std,0.0
7,55,current_PlatenRFPeakToPeak_mean,0.0
7,56,current_PlatenRFReflectedPower_mean,0.0
7,57,current_PlatenRFTuningCapacitor_max,0.0
7,58,current_PlatenRFTuningCapacitor_min,0.0
7,59,current_Pressure_max,0.0
7,60,current_Pressure_mean,0.0
7,61,current_SourceRFPeakToPeak_max,0.0
8,1,current_PlatenRFPeakToPeak_max,0.2484732890708372
8,2,current_Heater2Temp_mean,0.21969260234359678
8,3,current_Heater1Temp_mean,0.1698259890316054
8,4,current_Gas7Flow_min,0.15706032709443263
8,5,current_Heater2Temp_std,0.14276589501606574
8,6,current_Gas1Flow_max,0.1251371178121219
8,7,current_PlatenRFReflectedPower_std,0.12428687583155362
8,8,current_PlatenRFTuningCapacitor_std,0.12359853680371469
8,9,current_ForeLinePressure_mean,0.11805191276773286
8,10,current_HeliumBPFlow_mean,0.10852243164461428
8,11,current_PlatenDcBias_min,0.1054202050730002
8,12,current_PlatenRFTuningCapacitor_mean,0.10171622410507486
8,13,current_PlatenDcBias_mean,0.09530111125358398
8,14,current_SourceRFLoadPower_max,0.09323285049181407
8,15,current_HeliumBPPressure_min,0.09312452010956385
8,16,current_HeliumBPFlow_max,0.08542535985938327
8,17,current_moriInnerCurrent_max,0.07971615976242785
8,18,current_Gas7Flow_mean,0.07971086375332304
8,19,current_HeliumBPPressure_max,0.07381288089017923
8,20,current_PlatenRFPeakToPeak_mean,0.07329772737729345
8,21,current_Gas2Flow_std,0.06870950724398073
8,22,current_SourceRFReflectedPower_mean,0.06530948056664299
8,23,current_PlatenRFReflectedPower_mean,0.06448315014166339
8,24,current_Gas2Flow_mean,0.06370767423982127
8,25,current_Heater4Temp_mean,0.058376270949234144
8,26,current_PlatenRFLoadPower_max,0.047853120630165336
8,27,current_HeliumBPFlow_std,0.04290099080440202
8,28,current_PlatenRFReflectedPower_max,0.042356624662481135
8,29,current_Gas2Flow_max,0.03917837911044364
8,30,current_Heater3Temp_std,0.025807309298639725
8,31,current_SourceRFReflectedPower_std,0.021647357816075186
8,32,current_HeliumBPFlow_min,0.018942380509941348
8,33,current_EpdIntensity_mean,0.018577923687375097
8,34,current_Pressure_mean,0.01604487344251715
8,35,current_ForeLinePressure_min,0.00476416343556596
8,36,current_PlatenDcBias_max,0.0006807351924738025
8,37,current_Gas4Flow_mean,0.00023503576718275632
8,38,current_ForeLinePressure_max,0.0
8,39,current_Gas1Flow_mean,0.0
8,40,current_Gas2Flow_min,0.0
8,41,current_Gas4Flow_max,0.0
8,42,current_Gas5Flow_max,0.0
8,43,current_Gas7Flow_max,0.0
8,44,current_Gas7Flow_std,0.0
8,45,current_Heater3Temp_max,0.0
8,46,current_Heater3Temp_mean,0.0
8,47,current_Heater3Temp_min,0.0
8,48,current_Heater4Temp_std,0.0
8,49,current_HeliumBPPressure_mean,0.0
8,50,current_PlatenDcBias_std,0.0
8,51,current_PlatenRFLoadCapacitor_max,0.0
8,52,current_PlatenRFLoadCapacitor_mean,0.0
8,53,current_PlatenRFLoadCapacitor_min,0.0
8,54,current_PlatenRFLoadCapacitor_std,0.0
8,55,current_PlatenRFTuningCapacitor_max,0.0
8,56,current_PlatenRFTuningCapacitor_min,0.0
8,57,current_Pressure_max,0.0
8,58,current_Pressure_min,0.0
8,59,current_SourceRF2PeakToPeak_max,0.0
8,60,current_SourceRF2PeakToPeak_mean,0.0
8,61,current_SourceRFPeakToPeak_max,0.0
9,1,current_Heater2Temp_mean,0.3143611735445673
9,2,current_Gas7Flow_min,0.2202370211568927
9,3,current_HeliumBPPressure_min,0.1753498909917386
9,4,current_HeliumBPFlow_mean,0.1565763193496783
9,5,current_Gas7Flow_mean,0.156516341546437
9,6,current_PlatenRFReflectedPower_std,0.15481599617932051
9,7,current_HeliumBPFlow_min,0.1162252296473778
9,8,current_HeliumBPFlow_max,0.10541110228799488
9,9,current_Gas7Flow_max,0.0884854196408349
9,10,current_SourceRFReflectedPower_mean,0.08082849130946301
9,11,current_ForeLinePressure_mean,0.07660545399819041
9,12,current_Heater1Temp_mean,0.07558319194651641
9,13,current_Gas1Flow_max,0.07549150803130322
9,14,current_HeliumBPFlow_std,0.07268331808962203
9,15,current_Heater4Temp_mean,0.07229612358478033
9,16,current_Heater2Temp_std,0.06641613553624404
9,17,current_PlatenRFLoadPower_max,0.06198437246534416
9,18,current_PlatenRFTuningCapacitor_std,0.05612401916599974
9,19,current_PlatenRFPeakToPeak_mean,0.05369489505821967
9,20,current_PlatenRFLoadCapacitor_min,0.051890163841723735
9,21,current_PlatenRFTuningCapacitor_max,0.05140187217696135
9,22,current_PlatenRFTuningCapacitor_mean,0.0497141052301342
9,23,current_Pressure_max,0.049384717218629914
9,24,current_PlatenDcBias_mean,0.04749739088220517
9,25,current_PlatenDcBias_min,0.043003190248867895
9,26,current_Gas2Flow_max,0.040000013531886536
9,27,current_moriInnerCurrent_max,0.039073133377634406
9,28,current_ForeLinePressure_max,0.03587850665359582
9,29,current_HeliumBPPressure_max,0.02583199201092401
9,30,current_PlatenRFPeakToPeak_max,0.025529561097037856
9,31,current_SourceRFLoadPower_max,0.01614714868694378
9,32,current_PlatenRFTuningCapacitor_min,0.015634670968583952
9,33,current_SourceRF2PeakToPeak_max,0.014563329456065865
9,34,current_Gas7Flow_std,0.013714994784201684
9,35,current_Gas2Flow_min,0.011865754699667885
9,36,current_Gas4Flow_max,0.00648774490989279
9,37,current_PlatenRFReflectedPower_max,0.006072174641381656
9,38,current_PlatenDcBias_max,0.0022006920934283247
9,39,current_Heater4Temp_std,0.0020540522409060458
9,40,current_Gas2Flow_mean,0.0016421003583662053
9,41,current_EpdIntensity_mean,0.0
9,42,current_ForeLinePressure_min,0.0
9,43,current_Gas1Flow_mean,0.0
9,44,current_Gas2Flow_std,0.0
9,45,current_Gas4Flow_mean,0.0
9,46,current_Gas5Flow_max,0.0
9,47,current_Heater3Temp_max,0.0
9,48,current_Heater3Temp_mean,0.0
9,49,current_Heater3Temp_min,0.0
9,50,current_Heater3Temp_std,0.0
9,51,current_HeliumBPPressure_mean,0.0
9,52,current_PlatenDcBias_std,0.0
9,53,current_PlatenRFLoadCapacitor_max,0.0
9,54,current_PlatenRFLoadCapacitor_mean,0.0
9,55,current_PlatenRFLoadCapacitor_std,0.0
9,56,current_PlatenRFReflectedPower_mean,0.0
9,57,current_Pressure_mean,0.0
9,58,current_Pressure_min,0.0
